Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
05/13/2022,3252002,0.57,1410923,0.62,164843,0.52,140065,0.49,23539,0.8,998394,1.04,6050,0.35
05/14/2022,2149046,0.67,840921,0.6,89636,0.76,86652,0.58,13580,0.78,918398,0.96,69,0.01
05/15/2022,1760359,0.74,692876,0.72,76052,0.78,69705,0.67,13379,0.79,908702,1.07,5,0
05/16/2022,3080043,0.54,1396300,0.61,163431,0.51,140702,0.49,22187,0.75,898690,0.93,5996,0.34
05/17/2022,3536021,0.62,1519740,0.67,182683,0.57,162082,0.57,24353,0.83,951399,0.99,7259,0.42
05/18/2022,3605606,0.63,1511142,0.66,182181,0.57,161135,0.56,25365,0.86,982156,1.02,6816,0.39
05/19/2022,3467327,0.61,1426027,0.63,172517,0.54,149985,0.52,24271,0.83,983011,1.02,6790,0.39
05/20/2022,3271914,0.57,1396732,0.61,175666,0.55,146403,0.51,23767,0.81,1011794,1.05,6040,0.35
05/21/2022,2324245,0.72,883795,0.63,94322,0.8,92552,0.61,14985,0.87,983575,1.03,2530,0.52
05/22/2022,1760638,0.74,683500,0.71,78635,0.81,72063,0.69,13279,0.78,920057,1.08,1863,0.53
05/23/2022,3111755,0.54,1431781,0.63,170546,0.53,151349,0.53,22696,0.77,943933,0.98,6356,0.37
05/24/2022,3378506,0.59,1488152,0.65,182570,0.57,163943,0.57,24560,0.84,942307,0.98,7023,0.4
05/25/2022,3426530,0.6,1493506,0.66,178124,0.56,158814,0.55,25418,0.86,959442,1,6862,0.39
05/26/2022,3341059,0.58,1464696,0.64,176469,0.55,148011,0.52,24866,0.85,1001574,1.04,6549,0.38
05/27/2022,3031130,0.53,1353398,0.6,167840,0.53,135294,0.47,22894,0.78,975898,1.01,5737,0.33
05/28/2022,1872775,0.58,788135,0.56,91250,0.77,77192,0.51,12805,0.74,833464,0.87,2191,0.45
05/29/2022,1755236,0.73,701173,0.73,84784,0.87,76982,0.74,14490,0.85,891666,1.05,2276,0.65
05/30/2022,1694970,0.71,755616,0.78,80533,0.83,68206,0.66,10771,0.63,839398,0.98,2251,0.64
05/31/2022,3176109,0.56,1426470,0.63,184088,0.58,163018,0.57,23778,0.81,968335,1.01,6634,0.38
